,ts_code,trade_date,pct_chg
0,600438.SH,20210910,0.0017
5,600036.SH,20210910,0.0408
19,600782.SH,20210910,0.1882
20,300760.SZ,20210910,0.0015
18,000708.SZ,20210910,0.0994
22,603259.SH,20210910,0.0531
17,600019.SH,20210910,0.1184
24,300015.SZ,20210910,0.0922
21,300595.SZ,20210910,0.102
12,600703.SH,20210910,0.0699
