,2018-10-12,2018-10-19,2018-10-26,2018-11-02,2018-11-09,2018-11-16,2018-11-23,2018-11-30,2018-12-07,2018-12-14,2018-12-21,2018-12-28,2019-01-04,2019-01-11,2019-01-18,2019-01-25,2019-02-01,2019-02-08,2019-02-15,2019-02-22,2019-03-01,2019-03-08,2019-03-15,2019-03-22,2019-03-29,2019-04-05,2019-04-12,2019-04-19,2019-04-26,2019-05-03,2019-05-10,2019-05-17,2019-05-24,2019-05-31,2019-06-07,2019-06-14,2019-06-21,2019-06-28,2019-07-05,2019-07-12,2019-07-19,2019-07-26,2019-08-02,2019-08-09,2019-08-16,2019-08-23,2019-08-30,2019-09-06,2019-09-13,2019-09-20,2019-09-27,2019-10-04,2019-10-11,2019-10-18,2019-10-25,2019-11-01,2019-11-08,2019-11-15,2019-11-22,2019-11-29,2019-12-06,2019-12-13,2019-12-20,2019-12-27,2020-01-03,2020-01-10,2020-01-17,2020-01-24,2020-01-31,2020-02-07,2020-02-14,2020-02-21,2020-02-28,2020-03-06,2020-03-13,2020-03-20,2020-03-27,2020-04-03,2020-04-10,2020-04-17,2020-04-24,2020-05-01,2020-05-08,2020-05-15,2020-05-22,2020-05-29,2020-06-05,2020-06-12,2020-06-19,2020-06-26,2020-07-03,2020-07-10,2020-07-17,2020-07-24,2020-07-31,2020-08-07,2020-08-14,2020-08-21,2020-08-28,2020-09-04,2020-09-11,2020-09-18,2020-09-25,2020-10-02,2020-10-09,2020-10-16,2020-10-23,2020-10-30,2020-11-06,2020-11-13,2020-11-20,2020-11-27,2020-12-04,2020-12-11,2020-12-18,2020-12-25,2021-01-01,2021-01-08,2021-01-15,2021-01-22,2021-01-29,2021-02-05,2021-02-12,2021-02-19,2021-02-26,2021-03-05,2021-03-12,2021-03-19,2021-03-26,2021-04-02,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02,2021-07-09,2021-07-16
2,300308.SZ,002233.SZ,600606.SH,601601.SH,300015.SZ,601169.SH,002210.SZ,601211.SH,601211.SH,601006.SH,600011.SH,000750.SZ,600570.SH,601166.SH,600690.SH,002508.SZ,002304.SZ,000935.SZ,000963.SZ,000333.SZ,000651.SZ,000656.SZ,000157.SZ,600125.SH,002271.SZ,002127.SZ,601012.SH,000426.SZ,601989.SH,600536.SH,603118.SH,603444.SH,600373.SH,601288.SH,600837.SH,600816.SH,000538.SZ,002138.SZ,600340.SH,002396.SZ,601166.SH,600588.SH,600406.SH,002714.SZ,002508.SZ,300059.SZ,600016.SH,600690.SH,001979.SZ,001979.SZ,002311.SZ,000876.SZ,300760.SZ,601939.SH,002557.SZ,601166.SH,601398.SH,600536.SH,600782.SH,601288.SH,601138.SH,002508.SZ,002508.SZ,001979.SZ,600030.SH,002035.SZ,002304.SZ,300315.SZ,000935.SZ,600570.SH,002074.SZ,000050.SZ,002503.SZ,600298.SH,002466.SZ,600693.SH,002439.SZ,002007.SZ,601162.SH,600438.SH,002416.SZ,601688.SH,603993.SH,300142.SZ,002475.SZ,601166.SH,002157.SZ,000338.SZ,600459.SH,603799.SH,601288.SH,002429.SZ,002444.SZ,300315.SZ,000789.SZ,300285.SZ,600028.SH,000961.SZ,603881.SH,000910.SZ,002157.SZ,600048.SH,300662.SZ,600298.SH,600104.SH,002035.SZ,002389.SZ,300188.SZ,600000.SH,600426.SH,600031.SH,002050.SZ,600519.SH,300015.SZ,601857.SH,300015.SZ,600887.SH,300059.SZ,000301.SZ,601939.SH,601233.SH,000425.SZ,603486.SH,600885.SH,000998.SZ,600009.SH,601601.SH,300347.SZ,601939.SH,002064.SZ,600690.SH,601601.SH,300124.SZ,002812.SZ,000717.SZ,002385.SZ,300760.SZ,000001.SZ,300498.SZ,002709.SZ,300999.SZ,603501.SH,002384.SZ,600845.SH,300308.SZ
3,000063.SZ,000789.SZ,000961.SZ,601211.SH,600867.SH,601166.SH,600704.SH,000750.SZ,600837.SH,601111.SH,300203.SZ,601688.SH,600588.SH,600036.SH,002508.SZ,000921.SZ,603288.SH,002043.SZ,300347.SZ,002050.SZ,002032.SZ,600325.SH,603338.SH,600115.SH,000401.SZ,600280.SH,600406.SH,002056.SZ,300527.SZ,600446.SH,600345.SH,002624.SZ,002624.SZ,600015.SH,601211.SH,600999.SH,000963.SZ,002236.SZ,002146.SZ,000063.SZ,600016.SH,300168.SZ,300750.SZ,002458.SZ,000921.SZ,601377.SH,601288.SH,002508.SZ,601155.SH,000002.SZ,002157.SZ,002311.SZ,603259.SH,002142.SZ,000568.SZ,000001.SZ,601988.SH,300212.SZ,600507.SH,002142.SZ,002371.SZ,002242.SZ,600690.SH,000069.SZ,600837.SH,002677.SZ,000858.SZ,002174.SZ,002043.SZ,002410.SZ,300124.SZ,002273.SZ,300577.SZ,002157.SZ,601899.SH,000061.SZ,002180.SZ,300347.SZ,601211.SH,300124.SZ,002697.SZ,601990.SH,601899.SH,603882.SH,603501.SH,601658.SH,002458.SZ,600104.SH,002340.SZ,300618.SZ,601166.SH,000810.SZ,601100.SH,300058.SZ,600585.SH,600176.SH,600143.SH,600383.SH,300624.SZ,000488.SZ,002385.SZ,601155.SH,600054.SH,600201.SH,000581.SZ,002705.SZ,600760.SH,300253.SZ,601328.SH,601216.SH,002444.SZ,000921.SZ,603866.SH,002001.SZ,601699.SH,300759.SZ,000858.SZ,601318.SH,002080.SZ,002142.SZ,002493.SZ,000157.SZ,000425.SZ,300001.SZ,002124.SZ,601872.SH,601628.SH,603882.SH,601398.SH,002709.SZ,002677.SZ,600030.SH,002074.SZ,603605.SH,000709.SZ,002299.SZ,002030.SZ,601398.SH,002041.SZ,600309.SH,300673.SZ,002241.SZ,000100.SZ,300454.SZ,300394.SZ
4,600522.SH,600801.SH,000002.SZ,601336.SH,000423.SZ,601328.SH,601021.SH,600643.SH,601688.SH,600787.SH,600027.SH,600999.SH,600536.SH,601328.SH,002050.SZ,600690.SH,600305.SH,002082.SZ,600436.SH,002614.SZ,002050.SZ,000402.SZ,000425.SZ,600020.SH,002233.SZ,002697.SZ,002202.SZ,600255.SH,600990.SH,300033.SZ,002313.SZ,300182.SZ,600977.SH,600919.SH,600030.SH,600030.SH,300015.SZ,002938.SZ,001979.SZ,300308.SZ,002142.SZ,600536.SH,300316.SZ,002100.SZ,002035.SZ,000166.SZ,002142.SZ,002242.SZ,600606.SH,600340.SH,002567.SZ,600975.SH,300009.SZ,601229.SH,000895.SZ,601009.SH,601169.SH,600588.SH,002110.SZ,600016.SH,000100.SZ,600060.SH,000921.SZ,600383.SH,601601.SH,603579.SH,603288.SH,002131.SZ,002082.SZ,300033.SZ,300001.SZ,600183.SH,002293.SZ,002100.SZ,002171.SZ,002640.SZ,603019.SH,000538.SZ,601688.SH,300014.SZ,002251.SZ,601601.SH,600459.SH,300347.SZ,300433.SZ,601398.SH,002124.SZ,601689.SH,600547.SH,601899.SH,601328.SH,002614.SZ,002353.SZ,002174.SZ,000786.SZ,600352.SH,600352.SH,600177.SH,002212.SZ,603429.SH,601952.SH,000069.SZ,600965.SH,002311.SZ,002239.SZ,002429.SZ,002013.SZ,600570.SH,601658.SH,002812.SZ,002747.SZ,002705.SZ,600872.SH,002007.SZ,600188.SH,300760.SZ,000799.SZ,601211.SH,300699.SZ,601838.SH,002709.SZ,601100.SH,300776.SZ,600406.SH,600737.SH,600004.SH,601901.SH,002007.SZ,601288.SH,300037.SZ,000921.SZ,601066.SH,600089.SH,600315.SH,600019.SH,600737.SH,002001.SZ,601939.SH,002124.SZ,603605.SH,002124.SZ,300782.SZ,600460.SH,000938.SZ,600498.SH
0,000789.SZ,603799.SH,601888.SH,000333.SZ,600585.SH,600900.SH,002415.SZ,600276.SH,600029.SH,600276.SH,600201.SH,600886.SH,002179.SZ,601318.SH,600276.SH,000002.SZ,601318.SH,600135.SH,601318.SH,600519.SH,002410.SZ,002271.SZ,300760.SZ,601225.SH,000001.SZ,001979.SZ,600036.SH,603338.SH,601012.SH,600201.SH,002831.SZ,600398.SH,603338.SH,601989.SH,600600.SH,600585.SH,000858.SZ,000063.SZ,000651.SZ,600585.SH,600031.SH,000063.SZ,002466.SZ,600309.SH,000001.SZ,000651.SZ,000858.SZ,603160.SH,300750.SZ,002241.SZ,300122.SZ,000651.SZ,000333.SZ,000333.SZ,000333.SZ,600276.SH,600309.SH,600346.SH,002714.SZ,601318.SH,601318.SH,601877.SH,000725.SZ,600276.SH,002415.SZ,002410.SZ,002410.SZ,600585.SH,600135.SH,601318.SH,002460.SZ,600031.SH,601186.SH,600048.SH,002624.SZ,601398.SH,000063.SZ,601601.SH,300760.SZ,603259.SH,000333.SZ,000002.SZ,603019.SH,601012.SH,300750.SZ,600519.SH,601318.SH,000725.SZ,600406.SH,600346.SH,603737.SH,300750.SZ,600585.SH,600009.SH,000338.SZ,002572.SZ,603713.SH,300450.SZ,000725.SZ,002594.SZ,600009.SH,002594.SZ,300114.SZ,002410.SZ,300059.SZ,300750.SZ,002624.SZ,600699.SH,000002.SZ,002353.SZ,603993.SH,600276.SH,300059.SZ,601166.SH,600570.SH,600031.SH,002230.SZ,600585.SH,000100.SZ,300015.SZ,300059.SZ,600276.SH,002493.SZ,601899.SH,002460.SZ,300144.SZ,000858.SZ,000651.SZ,603338.SH,002271.SZ,600176.SH,600309.SH,000333.SZ,600019.SH,601857.SH,601636.SH,600176.SH,600276.SH,002493.SZ,601166.SH,300724.SZ,601318.SH,002050.SZ,600760.SH,000786.SZ
1,600585.SH,600547.SH,600138.SH,000651.SZ,002233.SZ,600886.SH,002236.SZ,002294.SZ,601006.SH,300347.SZ,002714.SZ,600025.SH,601989.SH,601628.SH,000963.SZ,001979.SZ,600030.SH,002243.SZ,600030.SH,000568.SZ,600570.SH,600585.SH,600276.SH,600583.SH,600036.SH,000002.SZ,601166.SH,000425.SZ,600438.SH,002714.SZ,002511.SZ,002042.SZ,600031.SH,002023.SZ,600887.SH,002271.SZ,000568.SZ,300383.SZ,600690.SH,000401.SZ,000157.SZ,300383.SZ,600111.SH,600352.SH,002142.SZ,002508.SZ,603288.SH,002415.SZ,300124.SZ,600183.SH,300003.SZ,600690.SH,600690.SH,600690.SH,002508.SZ,300760.SZ,600176.SH,000703.SZ,300498.SZ,600030.SH,600030.SH,300750.SZ,601138.SH,603939.SH,002475.SZ,600570.SH,603019.SH,002596.SZ,002243.SZ,601601.SH,002466.SZ,002353.SZ,601800.SH,600208.SH,002555.SZ,601328.SH,300628.SZ,601318.SH,300347.SZ,300760.SZ,000651.SZ,600048.SH,000066.SZ,300750.SZ,601012.SH,600887.SH,601688.SH,002475.SZ,300750.SZ,300073.SZ,600352.SH,600406.SH,000672.SZ,600057.SH,601238.SH,002701.SZ,600004.SH,603298.SH,002415.SZ,000338.SZ,601021.SH,000625.SZ,600031.SH,300253.SZ,600030.SH,002531.SZ,300413.SZ,600104.SH,600048.SH,300450.SZ,002466.SZ,300601.SZ,601318.SH,601169.SH,600588.SH,300450.SZ,300496.SZ,002271.SZ,000725.SZ,300122.SZ,601601.SH,600529.SH,002812.SZ,600549.SH,601899.SH,601888.SH,600887.SH,002050.SZ,300450.SZ,601636.SH,601966.SH,600409.SH,000651.SZ,600507.SH,601225.SH,000786.SZ,600426.SH,603658.SH,002648.SZ,600036.SH,601766.SH,300059.SZ,000333.SZ,603678.SH,601636.SH
2,002233.SZ,603993.SH,600258.SH,600690.SH,002271.SZ,300203.SZ,002371.SZ,600518.SH,600009.SH,000538.SZ,002311.SZ,600023.SH,600879.SH,601211.SH,300015.SZ,600048.SH,601336.SH,002511.SZ,601688.SH,600887.SH,600588.SH,000786.SZ,300015.SZ,002128.SZ,601009.SH,000069.SZ,601229.SH,601100.SH,300274.SZ,002157.SZ,603833.SH,600987.SH,300450.SZ,600893.SH,603288.SH,000789.SZ,600519.SH,002281.SZ,002508.SZ,600801.SH,000425.SZ,002281.SZ,603799.SH,300285.SZ,601288.SH,000333.SZ,000568.SZ,002475.SZ,002202.SZ,601138.SH,000963.SZ,002050.SZ,002508.SZ,002032.SZ,002032.SZ,000538.SZ,600346.SH,600309.SH,002311.SZ,601066.SH,002797.SZ,300014.SZ,603501.SH,300142.SZ,000725.SZ,002230.SZ,600588.SH,601636.SH,002511.SZ,601336.SH,603799.SH,601100.SH,603959.SH,000002.SZ,002174.SZ,601288.SH,300308.SZ,601688.SH,000538.SZ,002007.SZ,002032.SZ,600340.SH,000034.SZ,300124.SZ,300124.SZ,000596.SZ,600109.SH,002049.SZ,601012.SH,300285.SZ,600028.SH,300124.SZ,600326.SH,603128.SH,600741.SH,603833.SH,600009.SH,601100.SH,002008.SZ,600104.SH,002352.SZ,600104.SH,603486.SH,300033.SZ,601066.SH,600089.SH,002027.SZ,002434.SZ,600383.SH,002690.SZ,002340.SZ,603259.SH,601601.SH,600016.SH,002410.SZ,300470.SZ,300253.SZ,601636.SH,002371.SZ,603658.SH,601688.SH,002007.SZ,300285.SZ,600362.SH,600489.SH,600138.SH,002304.SZ,600690.SH,000425.SZ,002372.SZ,002812.SZ,600176.SH,002050.SZ,000898.SZ,000983.SZ,000012.SZ,002648.SZ,300015.SZ,600426.SH,000001.SZ,601100.SH,600030.SH,002705.SZ,600316.SH,000012.SZ
3,600801.SH,600711.SH,300144.SZ,000921.SZ,000789.SZ,600323.SH,002414.SZ,300015.SZ,002352.SZ,000963.SZ,300498.SZ,600011.SH,002013.SZ,601688.SH,600436.SH,601155.SH,601211.SH,002489.SZ,000776.SZ,000858.SZ,300033.SZ,000789.SZ,000739.SZ,600295.SH,601328.SH,000560.SZ,601009.SH,300450.SZ,002129.SZ,300498.SZ,002867.SZ,002832.SZ,002430.SZ,600118.SH,000568.SZ,000786.SZ,600600.SH,002313.SZ,600060.SH,002271.SZ,601100.SH,300308.SZ,600392.SH,600346.SH,601128.SH,600690.SH,002304.SZ,002236.SZ,002129.SZ,600667.SH,300347.SZ,002508.SZ,002035.SZ,002508.SZ,000921.SZ,300347.SZ,002812.SZ,603737.SH,000876.SZ,601688.SH,601211.SH,002129.SZ,002008.SZ,300003.SZ,002925.SZ,002405.SZ,002230.SZ,000786.SZ,002489.SZ,601878.SH,000807.SZ,603338.SH,600284.SH,001979.SZ,603444.SH,601128.SH,300383.SZ,601555.SH,603882.SH,300347.SZ,000016.SZ,601155.SH,601360.SH,600406.SH,300118.SZ,600597.SH,601162.SH,300136.SZ,002074.SZ,600160.SH,002812.SZ,601012.SH,600720.SH,002352.SZ,002625.SZ,002303.SZ,600233.SH,300724.SZ,000021.SZ,002625.SZ,600004.SH,600699.SH,603338.SH,300377.SZ,601628.SH,600406.SH,603444.SH,600741.SH,001979.SZ,603338.SH,002460.SZ,002007.SZ,600030.SH,000001.SZ,002439.SZ,603185.SH,002410.SZ,601865.SH,002236.SZ,300759.SZ,000776.SZ,300015.SZ,002080.SZ,601600.SH,600219.SH,600754.SH,600809.SH,002705.SZ,601100.SH,000786.SZ,300285.SZ,603605.SH,600690.SH,002110.SZ,601666.SH,002271.SZ,002064.SZ,300760.SZ,601966.SH,600919.SH,002747.SZ,601696.SH,002032.SZ,002013.SZ,002791.SZ
4,002271.SZ,002460.SZ,600754.SH,002242.SZ,600326.SH,600027.SH,300136.SZ,601607.SH,600004.SH,000661.SZ,000876.SZ,600795.SH,002465.SZ,300059.SZ,300347.SZ,002146.SZ,600958.SH,002348.SZ,000166.SZ,603288.SH,300271.SZ,000877.SZ,002422.SZ,601808.SH,601128.SH,600048.SH,601818.SH,600031.SH,600406.SH,600975.SH,002191.SZ,603587.SH,300145.SZ,000768.SZ,600872.SH,000401.SZ,000860.SZ,600260.SH,000333.SZ,000877.SZ,603338.SH,600050.SH,000831.SZ,300073.SZ,601997.SH,002050.SZ,603369.SH,000100.SZ,300274.SZ,002456.SZ,000999.SZ,600060.SH,002050.SZ,002050.SZ,000651.SZ,300003.SZ,601233.SH,300037.SZ,600298.SH,600093.SH,601099.SH,300118.SZ,002600.SZ,600867.SH,603501.SH,600271.SH,000977.SZ,002372.SZ,002348.SZ,601990.SH,600549.SH,002367.SZ,002310.SZ,601155.SH,002607.SZ,600015.SH,603236.SH,600999.SH,000513.SZ,002001.SZ,603579.SH,000656.SZ,600570.SH,002074.SZ,600406.SH,603369.SH,600030.SH,002938.SZ,002851.SZ,600309.SH,002493.SZ,603489.SH,002791.SZ,600004.SH,300428.SZ,002117.SZ,601111.SH,002690.SZ,000100.SZ,600699.SH,601866.SH,000338.SZ,000157.SZ,603019.SH,000776.SZ,300124.SZ,002555.SZ,000550.SZ,600185.SH,601100.SH,000933.SZ,300347.SZ,600958.SH,601818.SH,300496.SZ,002353.SZ,000066.SZ,002791.SZ,002241.SZ,603259.SH,000712.SZ,300244.SZ,600352.SH,600392.SH,601600.SH,000796.SZ,600132.SH,002242.SZ,300751.SZ,000672.SZ,000703.SZ,601966.SH,002032.SZ,000825.SZ,000629.SZ,601865.SH,600989.SH,000661.SZ,000683.SZ,601288.SH,300450.SZ,601601.SH,002677.SZ,600893.SH,002372.SZ
0,600808.SH,600030.SH,601600.SH,600276.SH,600029.SH,600029.SH,601012.SH,600028.SH,000002.SZ,600036.SH,600031.SH,601186.SH,601012.SH,300750.SZ,000002.SZ,600031.SH,002475.SZ,600123.SH,002475.SZ,002415.SZ,000089.SZ,002415.SZ,002268.SZ,600201.SH,600570.SH,601318.SH,300012.SZ,300383.SZ,603019.SH,600011.SH,600801.SH,002506.SZ,600111.SH,600352.SH,600048.SH,600031.SH,600570.SH,002304.SZ,600585.SH,601012.SH,603128.SH,600031.SH,002027.SZ,600585.SH,000002.SZ,000066.SZ,002439.SZ,600585.SH,601318.SH,000651.SZ,600588.SH,300285.SZ,600585.SH,000002.SZ,600183.SH,000338.SZ,002230.SZ,300750.SZ,600309.SH,000002.SZ,000661.SZ,601155.SH,601006.SH,300750.SZ,601668.SH,000725.SZ,000001.SZ,002152.SZ,600123.SH,600009.SH,300059.SZ,002131.SZ,300498.SZ,000858.SZ,603877.SH,603877.SH,603986.SH,000002.SZ,002271.SZ,000333.SZ,000672.SZ,002152.SZ,002555.SZ,000425.SZ,600031.SH,300750.SZ,002352.SZ,002120.SZ,600030.SH,000651.SZ,600276.SH,002405.SZ,000338.SZ,601857.SH,002389.SZ,600900.SH,002594.SZ,300059.SZ,002027.SZ,002352.SZ,000671.SZ,601668.SH,603737.SH,600893.SH,600196.SH,600309.SH,300012.SZ,600507.SH,600887.SH,600104.SH,601166.SH,600309.SH,600276.SH,600519.SH,600309.SH,600549.SH,600036.SH,300496.SZ,600031.SH,300274.SZ,600893.SH,002027.SZ,002594.SZ,002714.SZ,300750.SZ,000002.SZ,002271.SZ,002352.SZ,601318.SH,601088.SH,601601.SH,601166.SH,300285.SZ,300059.SZ,601919.SH,601888.SH,600036.SH,300750.SZ,603501.SH,601919.SH,002867.SZ,600036.SH,603260.SH,603195.SH,600111.SH
1,000825.SZ,601601.SH,603799.SH,300015.SZ,600009.SH,600018.SH,600438.SH,601233.SH,600048.SH,600000.SH,300450.SZ,601390.SH,300750.SZ,600438.SH,600048.SH,300450.SZ,002415.SZ,600188.SH,002008.SZ,002475.SZ,002468.SZ,002236.SZ,300033.SZ,600737.SH,002410.SZ,601688.SH,000839.SZ,002583.SZ,002195.SZ,600900.SH,002271.SZ,300274.SZ,000831.SZ,600277.SH,000002.SZ,000425.SZ,002230.SZ,000568.SZ,002271.SZ,600438.SH,600018.SH,000425.SZ,002123.SZ,600801.SH,600340.SH,600588.SH,600570.SH,600801.SH,601211.SH,000333.SZ,002439.SZ,002407.SZ,002271.SZ,001979.SZ,002241.SZ,600741.SH,000977.SZ,300124.SZ,002601.SZ,600606.SH,600276.SH,000002.SZ,600009.SH,601012.SH,601800.SH,603501.SH,002142.SZ,002410.SZ,600188.SH,600004.SH,600030.SH,603444.SH,002714.SZ,600519.SH,600987.SH,300577.SZ,002916.SZ,600048.SH,000401.SZ,000651.SZ,600801.SH,600588.SH,002027.SZ,600031.SH,000157.SZ,600885.SH,600009.SH,600009.SH,601066.SH,600690.SH,000661.SZ,002230.SZ,600660.SH,002128.SZ,002013.SZ,000690.SZ,002625.SZ,600909.SH,600637.SH,600029.SH,600823.SH,601390.SH,600309.SH,002013.SZ,300677.SZ,002601.SZ,000839.SZ,000932.SZ,000799.SZ,002594.SZ,000001.SZ,002812.SZ,300760.SZ,600887.SH,603605.SH,600111.SH,601398.SH,000066.SZ,300450.SZ,600438.SH,000738.SZ,300413.SZ,600699.SH,000876.SZ,300274.SZ,600048.SH,600585.SH,600029.SH,601878.SH,601699.SH,300059.SZ,600036.SH,603605.SH,600030.SH,601872.SH,300662.SZ,601988.SH,300274.SZ,002475.SZ,002352.SZ,000488.SZ,601398.SH,300748.SZ,600966.SH,600219.SH
2,000778.SZ,601336.SH,300618.SZ,300142.SZ,002468.SZ,002468.SZ,600406.SH,600309.SH,600340.SH,601398.SH,601766.SH,002310.SZ,600525.SH,600406.SH,001979.SZ,601100.SH,002008.SZ,601857.SH,000725.SZ,002456.SZ,600029.SH,002916.SZ,002912.SZ,000998.SZ,002268.SZ,300059.SZ,603060.SH,600050.SH,600588.SH,600635.SH,000877.SZ,600406.SH,600366.SH,002812.SZ,600177.SH,300450.SZ,000997.SZ,603288.SH,000401.SZ,300274.SZ,600009.SH,603338.SH,002555.SZ,000401.SZ,600895.SH,000977.SZ,000977.SZ,000401.SZ,601377.SH,002050.SZ,300253.SZ,600352.SH,600801.SH,600048.SH,002916.SZ,601633.SH,002410.SZ,601877.SH,600028.SH,000069.SZ,300760.SZ,000069.SZ,601021.SH,300124.SZ,601186.SH,002475.SZ,601128.SH,600588.SH,601857.SH,002120.SZ,601318.SH,002555.SZ,002385.SZ,000568.SZ,002003.SZ,600987.SH,002185.SZ,601155.SH,002233.SZ,002050.SZ,002233.SZ,300451.SZ,603444.SH,000157.SZ,601100.SH,300274.SZ,601021.SH,002352.SZ,601688.SH,002050.SZ,300294.SZ,002373.SZ,000903.SZ,601001.SH,600038.SH,600452.SH,000338.SZ,000728.SZ,002602.SZ,603713.SH,000002.SZ,601186.SH,002648.SZ,000768.SZ,300601.SZ,601233.SH,603060.SH,002075.SZ,600519.SH,601238.SH,002142.SZ,601233.SH,603882.SH,600872.SH,002493.SZ,601899.SH,000001.SZ,002410.SZ,300724.SZ,300001.SZ,000768.SZ,002607.SZ,601633.SH,600737.SH,300014.SZ,000671.SZ,600801.SH,601111.SH,601099.SH,601898.SH,000776.SZ,601009.SH,002709.SZ,601377.SH,601866.SH,300144.SZ,601658.SH,601012.SH,000100.SZ,600704.SH,002572.SZ,600919.SH,601600.SH,002191.SZ,600338.SH
3,000709.SZ,600837.SH,600489.SH,002821.SZ,600115.SH,600787.SH,300124.SZ,600426.SH,001979.SZ,000001.SZ,000425.SZ,601669.SH,002202.SZ,601012.SH,000656.SZ,601766.SH,300136.SZ,601898.SH,002415.SZ,300408.SZ,601006.SH,601138.SH,002439.SZ,300498.SZ,002405.SZ,000783.SZ,000009.SZ,600498.SH,002368.SZ,600025.SH,002302.SZ,002129.SZ,600547.SH,002648.SZ,002146.SZ,601766.SH,600588.SH,600132.SH,600801.SH,002202.SZ,601111.SH,601100.SH,002607.SZ,002798.SZ,000402.SZ,002410.SZ,600588.SH,600720.SH,000728.SZ,002508.SZ,002268.SZ,600346.SH,000401.SZ,600606.SH,002236.SZ,600104.SH,300253.SZ,300118.SZ,600486.SH,600340.SH,603259.SH,002146.SZ,600018.SH,002506.SZ,600068.SH,002008.SZ,601939.SH,600570.SH,601898.SH,601111.SH,601688.SH,300413.SZ,601952.SH,600809.SH,300526.SZ,002293.SZ,600183.SH,600641.SH,600720.SH,000016.SZ,000789.SZ,002230.SZ,002174.SZ,601100.SH,603338.SH,300124.SZ,600029.SH,600233.SH,300059.SZ,002242.SZ,600521.SH,002195.SZ,002239.SZ,300191.SZ,002151.SZ,600483.SH,600660.SH,601211.SH,002292.SZ,601111.SH,000069.SZ,002941.SZ,002709.SZ,601698.SH,002007.SZ,300285.SZ,000409.SZ,600782.SH,300146.SZ,000338.SZ,601818.SH,600176.SH,300676.SZ,000596.SZ,300699.SZ,603799.SH,600000.SH,300454.SZ,603185.SH,600406.SH,002389.SZ,603613.SH,600104.SH,002311.SZ,603489.SH,000029.SZ,000877.SZ,601919.SH,601456.SH,601808.SH,601377.SH,000001.SZ,002812.SZ,601211.SH,601006.SH,002707.SZ,002142.SZ,300124.SZ,002414.SZ,600009.SH,002511.SZ,601658.SH,000807.SZ,002240.SZ,600516.SH
4,600782.SH,601211.SH,002237.SZ,600867.SH,601021.SH,000900.SZ,600416.SH,600596.SH,600383.SH,601166.SH,603486.SH,002061.SZ,600089.SH,600312.SH,000540.SZ,000157.SZ,002547.SZ,601918.SH,300136.SZ,300136.SZ,601021.SH,002475.SZ,600536.SH,000876.SZ,300253.SZ,600109.SH,600070.SH,002313.SZ,002268.SZ,600795.SH,600720.SH,300068.SZ,603993.SH,600486.SH,600094.SH,000157.SZ,300253.SZ,002507.SZ,600720.SH,600406.SH,002120.SZ,002747.SZ,300413.SZ,002271.SZ,000732.SZ,600570.SH,002230.SZ,000789.SZ,601336.SH,600690.SH,601360.SH,600426.SH,002372.SZ,000671.SZ,603501.SH,601799.SH,300168.SZ,300014.SZ,600176.SH,001979.SZ,300347.SZ,600048.SH,601872.SH,002733.SZ,601117.SH,300433.SZ,600919.SH,300271.SZ,601918.SH,000089.SZ,601108.SH,002624.SZ,600598.SH,603369.SH,300005.SZ,002003.SZ,002415.SZ,600466.SH,000789.SZ,002508.SZ,000786.SZ,300253.SZ,000681.SZ,603338.SH,002690.SZ,300316.SZ,600004.SH,601021.SH,601555.SH,000333.SZ,600529.SH,300033.SZ,601717.SH,600583.SH,002465.SZ,601985.SH,600104.SH,002736.SZ,002739.SZ,601021.SH,600748.SH,600970.SH,600426.SH,600760.SH,600276.SH,600143.SH,600620.SH,002110.SZ,000858.SZ,600660.SH,600919.SH,600160.SH,300244.SZ,002507.SZ,300285.SZ,002340.SZ,002142.SZ,300033.SZ,300751.SZ,601615.SH,600760.SH,002555.SZ,000625.SZ,002157.SZ,600885.SH,600094.SH,000401.SZ,000089.SZ,601628.SH,600348.SH,600030.SH,601988.SH,600346.SH,601336.SH,600018.SH,600054.SH,601169.SH,600406.SH,600745.SH,600004.SH,002078.SZ,601939.SH,600111.SH,603008.SH,600392.SH
